player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Mark Gronowski,138303,QB,IOWA,8,78.7,150,165,6.5,3.07,4,3,1.7,64.8,107,0,57,9.3,200,11,60,192,51.0,79.2,70.5,77.3,2,4,208,1,19.3,78.0,5.5,11,24,0,9,4,4,1.9,946,5.7
Cameran Brown,184894,QB,GA STATE,8,76.7,150,162,7.9,2.78,4,6,3.4,64.8,105,0,58,8.7,182,10,66,175,67.7,84.1,80.6,74.9,4,1,200,4,5.2,107.0,1.6,3,17,0,4,12,3,1.5,1120,6.9
Drew Allar,164157,QB,PENN STATE,6,73.3,150,159,8.2,2.84,2,4,2.5,64.8,103,0,43,6.4,186,7,65,266,67.6,73.4,67.6,74.8,2,3,191,0,14.0,93.8,3.2,6,20,0,5,8,5,2.6,1100,6.9
Carlos Del Rio-Wilson,146687,QB,MARSHALL,7,76.5,153,158,7.1,2.55,2,5,2.9,70.3,111,0,58,5.1,182,6,68,214,69.2,72.2,68.0,68.2,1,3,196,1,10.3,114.3,3.3,6,17,0,2,13,5,2.6,1295,8.2
Gio Lopez,172309,QB,N CAROLINA,7,75.7,144,157,9.0,3.0,3,7,4.2,63.1,99,0,74,9.2,188,10,51,245,60.5,71.2,68.1,66.2,1,5,199,0,13.5,81.2,5.3,10,21,0,9,6,5,2.5,1020,6.5
Rickie Collins,172474,QB,SYRACUSE,6,64.0,150,156,10.3,2.84,4,5,3.0,54.5,85,0,65,11.5,190,11,49,304,51.1,49.0,46.9,59.7,0,8,206,1,13.8,64.2,4.7,9,25,0,2,6,13,6.3,947,6.1
Steve Angeli,156966,QB,SYRACUSE,4,75.4,142,156,10.1,2.44,8,13,7.9,62.8,98,1,57,8.4,174,9,61,304,51.0,87.0,84.7,71.7,2,2,183,1,21.1,105.6,6.9,12,6,0,4,10,5,2.7,1317,8.4
Drew Pyne,122910,QB,BOWL GREEN,6,70.1,144,154,5.9,2.56,7,3,1.9,61.0,94,0,55,6.9,182,7,45,122,75.5,57.9,57.8,60.7,1,5,187,4,29.1,71.9,8.8,16,11,2,0,4,5,2.7,882,5.7
Blake Baker,170448,QB,LA TECH,7,76.5,136,148,8.0,2.54,2,4,2.5,66.2,98,0,51,5.8,177,6,57,208,59.5,77.6,69.3,76.2,4,3,187,0,15.7,93.3,4.5,8,21,1,5,5,5,2.7,1179,8.0
AJ Swann,157186,QB,APP STATE,5,75.0,136,142,9.5,2.43,0,6,4.0,62.0,88,0,40,13.7,152,14,54,108,74.3,73.7,71.6,73.6,1,6,160,2,12.5,86.6,3.3,5,5,0,5,8,6,3.8,1082,7.6
