season,week,home,away,actual_home,actual_away,home_offense,away_offense,home_defense,away_defense,home_special,away_special,home_flag
2023,4,SCAR STATE,CITADEL,31.0,10.0,-0.5007707775647916,0.057416369207178915,1.0410431363432906,-0.5530519981964998,-1.0021084387500485,-0.3791319811509691,1.0
2023,4,DELWARE ST,W GEORGIA,16.0,30.0,0.21218425766555993,-0.22144571530458076,-0.7443007542566228,0.31088327247564623,-0.9527687006276849,0.30956242127487626,1.0
2023,4,STETSON,BUTLER,44.0,16.0,-0.5812056460431352,0.28277155959235856,-1.445508920788252,-0.23466064433337774,-0.24871685764792445,0.699152647408355,1.0
2023,4,MURRAY ST,TENN STATE,35.0,38.0,-0.6677215765128893,-1.4442904903627436,-3.521461224978256,-0.03971098180967482,-0.020729673646597627,0.6528000148453635,1.0
2023,4,ILL STATE,SOUTHERN U,56.0,20.0,0.8922281869555811,-1.1314560826510645,-0.36962383709767366,-2.035293979773674,0.04466637227059255,-0.9585375725755426,1.0
2023,4,SOUTHERN U,TENN TECH,49.0,3.0,-1.1314560826510645,1.4774187195821906,-2.035293979773674,2.4205526455764357,-0.9585375725755426,0.38842374337090335,1.0
2023,4,CENT ARK,ABILENE CH,52.0,17.0,0.05202783057582748,0.04882547420016461,-0.3610923551968519,-0.028466929388045133,-0.5481113728324037,0.3552485895229257,1.0
2023,4,E TENN ST,SCAR STATE,23.0,31.0,-0.2688673470106958,-0.5007707775647916,-0.6190284856668062,1.0410431363432906,0.04305997646930834,-1.0021084387500485,1.0
2023,4,ALCORN ST,PRVIEW A&M,20.0,23.0,-0.9030023996452695,-0.10974477317526228,0.14214736128061778,1.56799331370847,-0.813399079538687,0.3449834484256245,1.0
2023,4,N ALABAMA,TENN MARTN,21.0,37.0,-0.6457444724818812,-0.29546173045640295,-1.1189681178606548,-0.5953464526033412,-0.1921962410771992,0.5748789269143199,1.0
2023,4,MAINE,SCAR STATE,22.0,19.0,0.017062177929087496,-0.5007707775647916,1.223308526032398,1.0410431363432906,-0.3791475197108194,-1.0021084387500485,1.0
2023,4,TENN STATE,SOUTHERN U,27.0,13.0,-1.4442904903627436,-1.1314560826510645,-0.03971098180967482,-2.035293979773674,0.6528000148453635,-0.9585375725755426,1.0
2023,4,STETSON,STF AUSTIN,38.0,7.0,-0.5812056460431352,0.05656616677868452,-1.445508920788252,2.9520666271748364,-0.24871685764792445,0.45027248803026365,1.0
2023,4,SE LA,HOUCHR,19.0,34.0,0.3490036852605159,-1.3642761287793446,2.1344455953746824,1.2424154686722457,1.0956594578634182,-0.3894278339666151,1.0
2023,4,SCAR STATE,SOUTHERN U,44.0,37.0,-0.5007707775647916,-1.1314560826510645,1.0410431363432906,-2.035293979773674,-1.0021084387500485,-0.9585375725755426,1.0
2023,4,JACKSON ST,BETH COOK,22.0,16.0,0.9681529251291328,0.5129535824346835,0.4627948863937006,-1.5694953737973365,0.10685665570152988,0.22932277769020926,1.0
2023,4,TEXAS STHN,NEWHVN,35.0,24.0,-1.1775465298567604,-0.36615077993256767,0.3445744069126442,-0.4688683734060913,0.6154930559108662,-1.1719884538940857,1.0
2023,4,TENN TECH,TENN STATE,17.0,7.0,1.4774187195821906,-1.4442904903627436,2.4205526455764357,-0.03971098180967482,0.38842374337090335,0.6528000148453635,1.0
